Москва́ [마스끄바] Moscow
све́жий [스볘쥐이이] fresh
поли́тика [빨리띠까] policy
о́бщество [오브시예스뜨바] society
эконо́мика [에까노미까] economy
спорт [스빠르뜨] 스포츠
шо́у [쉬오우] 쇼
показа́ть [빠까잣ь] 쇼
би́знес [비즈녜스] 비즈니스
специа́льный [스뼤찌알늬이] 특별한
вое́нный [바옌늬이] 전쟁의
опера́ция [아뼤라찌야] operation
происше́ствие [쁘라이스쉬예스뜨비예] 사건
культу́ра [꿀뚜라] culture
те́хно [뗴흐나] techno
вчера́ [브쳬라] 어제
се́кторный [셰끄따르늬이] 섹터의
рабо́та [라보따] 직장
стадио́н [스따디온] stadium
нау́чный [나우츠늬이] 과학의
нау́ка [나우까] 과학
войти́ [바이띠] 로그인
найти́ [나이띠] find
те́ма [뗴마] 테마
гла́вный [글라브늬이] 메인
подписа́ть [빠드삐삿ь] 구독하다.
подпи́ска [빠드삐스까] 구독
ви́део [비뎨아] 동영상
видеоигра́ [비뎨아이그라] 비디오 게임
ро́лик [롤리끄] 비디오 클립
статья́ [스땃야] 기사
но́вость [노바스뜨ь] 뉴스
де́тям [뎨땸] 어린이용
де́ти [뎨띠] 어린이들
ребёнок [례뵤나끄] 어린이
вака́нсия [바깐시야] 채용
тень [뗸] 그림자
ве́тер [볘뗴르] 바람
река́ [례까] 강
гора́ [가라] 산
ка́мень [까몐] 돌
песо́к [뼤소끄] 모래
моро́з [마로즈] 강추위
жа́ркий [쥐아르끼이] 뜨거운
жара́ [쥐아라] 더위
пожа́р [빠쥐아르] 불
пожа́рный [빠쥐아르늬이] 소방관
поли́ция [빨리찌야] 경찰
печа́ль [뼤찰ь] 슬픔
грусть [그루스뜨ь] 슬픔
злость [즐라스뜨ь] 분노
гнев [그녜브] 분노
удивле́ние [우디블례니예] 놀라움
споко́йствие [스빠꼬이스뜨비예] 조용함
отвраще́ние [아뜨브라시예니예] 혐오
дове́рие [다볘리예] 신뢰
стыди́ть [스띄딧ь] 부끄럽다.
го́рькій [고르끼이] 쓴
го́речь [고례츠] 씀
вды́хать [브듸핫ь] 흡입하다.
выды́хать [븨듸핫ь] 내쉬다.
вдохнови́ть [브다흐나빗ь] inspire
вдохнове́ние [브다흐나볘니예] 영감
благода́рность [블라가다르나스뜨] 감사
разочарова́ние [라즈아차라바니예] 실망
трево́га [뜨례보가] 불안
велосипе́д [볠라시뼤드] 자전거
пешехо́дный [뼤쉬예호드늬이] 보행자의
оте́ль [아뗼ь] 호텔
гости́ница [가스띠니짜] 호텔
ви́за [비자] visa
грани́ца [그라니짜] 국경
одея́ло [아뎨얄라] 담요
шкаф [쉬까프] 옷장
ведро́ [볘드로] 양동이
больни́ца [발니짜] 병원
апте́ка [아쁘뗴까] 약국
це́рковь [쪠르까브] 교회
прави́тельство [쁘라비뗼ь스뜨바] 정부
суд [수드] 법원
тюрьма́ [뜌르마] 감옥
профе́ссия [쁘라폐씨야] profession
